created_at,entry_id,field1
2024-04-09T02:06:38+05:30,1,0.06
2024-04-09T02:06:43+05:30,3,1.17
2024-04-09T02:06:48+05:30,5,2.38
2024-04-09T02:06:54+05:30,7,1.34
2024-04-09T02:06:59+05:30,9,2.35
2024-04-09T02:07:04+05:30,11,1.6
2024-04-09T02:07:09+05:30,13,2.28
2024-04-09T02:07:15+05:30,15,1.54
2024-04-09T02:07:20+05:30,17,2.07
2024-04-09T02:07:25+05:30,19,2.69
2024-04-09T02:07:31+05:30,21,2.5
2024-04-09T02:07:36+05:30,23,2.21
2024-04-09T02:07:41+05:30,25,0.07
2024-04-09T02:07:47+05:30,27,0.07
2024-04-09T02:07:52+05:30,29,0.07
2024-04-09T02:07:57+05:30,31,0.08
2024-04-09T02:08:03+05:30,33,0.09
2024-04-09T02:08:08+05:30,35,0.07
2024-04-09T02:08:13+05:30,37,1.9
2024-04-09T02:08:19+05:30,39,1.46
2024-04-09T02:08:24+05:30,41,2.18
2024-04-09T02:08:29+05:30,43,2.65
2024-04-09T02:08:34+05:30,45,2.5
2024-04-09T02:08:40+05:30,47,2.09
2024-04-09T02:08:45+05:30,49,2.58
2024-04-09T02:08:50+05:30,51,2.43
2024-04-09T02:08:56+05:30,53,2.24
2024-04-09T02:09:01+05:30,55,1.57
2024-04-09T02:09:06+05:30,57,1.98
2024-04-09T02:09:12+05:30,59,2.6
2024-04-09T02:09:17+05:30,61,2.54
2024-04-09T02:09:22+05:30,63,2.42
2024-04-09T02:09:28+05:30,65,1.98
2024-04-09T02:09:33+05:30,67,1.43
2024-04-09T02:09:38+05:30,69,2.15
2024-04-09T02:09:44+05:30,71,2.49
2024-04-09T02:09:49+05:30,73,2.36
2024-04-09T02:09:54+05:30,75,2.33
2024-04-09T02:10:00+05:30,77,1.87
2024-04-09T02:10:05+05:30,79,1.65
2024-04-09T02:10:10+05:30,81,2.32
2024-04-09T02:10:16+05:30,83,2.3
2024-04-09T02:10:21+05:30,84,2.3
2024-04-09T02:10:26+05:30,86,2.1
2024-04-09T02:10:31+05:30,88,1.42
2024-04-09T02:10:37+05:30,90,1.98
2024-04-09T02:10:42+05:30,92,2.48
2024-04-09T02:10:47+05:30,94,2.32
2024-04-09T02:10:53+05:30,96,2.24
2024-04-09T02:10:58+05:30,98,1.86
2024-04-09T02:11:03+05:30,100,1.41
2024-04-09T02:11:09+05:30,102,2.15
2024-04-09T02:11:14+05:30,104,2.39
2024-04-09T02:11:19+05:30,106,2.38
2024-04-09T02:11:25+05:30,108,2.06
2024-04-09T02:11:30+05:30,110,1.71
2024-04-09T02:11:35+05:30,112,1.76
2024-04-09T02:11:41+05:30,114,2.36
2024-04-09T02:11:46+05:30,116,2.25
2024-04-09T02:11:51+05:30,118,2.17
2024-04-09T02:11:56+05:30,120,1.7
2024-04-09T02:12:02+05:30,122,1.42
2024-04-09T02:12:07+05:30,124,1.98
2024-04-09T02:12:12+05:30,126,2.43
2024-04-09T02:12:18+05:30,128,2.26
2024-04-09T02:12:23+05:30,130,1.99
2024-04-09T02:12:28+05:30,132,1.43
2024-04-09T02:12:34+05:30,134,1.99
2024-04-09T02:12:39+05:30,136,2.4
2024-04-09T02:12:44+05:30,138,2.28
2024-04-09T02:12:50+05:30,140,1.98
2024-04-09T02:12:55+05:30,142,1.42
2024-04-09T02:13:00+05:30,144,2
2024-04-09T02:13:06+05:30,146,2.38
2024-04-09T02:13:11+05:30,148,2.28
2024-04-09T02:13:16+05:30,150,1.91
2024-04-09T02:13:22+05:30,152,1.41
2024-04-09T02:13:27+05:30,154,2
2024-04-09T02:13:32+05:30,156,2.32
2024-04-09T02:13:37+05:30,158,2.24
2024-04-09T02:13:43+05:30,160,1.87
2024-04-09T02:13:48+05:30,162,1.39
2024-04-09T02:13:53+05:30,164,2.02
2024-04-09T02:13:59+05:30,166,2.3
2024-04-09T02:14:04+05:30,168,2.24
2024-04-09T02:14:09+05:30,170,1.81
2024-04-09T02:14:15+05:30,172,1.4
2024-04-09T02:14:20+05:30,174,2.06
2024-04-09T02:14:25+05:30,176,2.26
2024-04-09T02:14:31+05:30,178,2.25
2024-04-09T02:14:36+05:30,180,1.82
2024-04-09T02:14:41+05:30,182,1.4
2024-04-09T02:14:47+05:30,184,2.05
2024-04-09T02:14:52+05:30,186,2.26
2024-04-09T02:14:57+05:30,188,2.23
2024-04-09T02:15:03+05:30,190,1.79
2024-04-09T02:15:08+05:30,192,1.46
2024-04-09T02:15:13+05:30,194,2.12
2024-04-09T02:15:19+05:30,196,2.23
2024-04-09T02:15:24+05:30,197,2.19
2024-04-09T02:15:29+05:30,199,1.75
2024-04-09T02:15:34+05:30,201,1.49
2024-04-09T02:15:40+05:30,203,2.13
2024-04-09T02:15:45+05:30,205,2.15
2024-04-09T02:15:50+05:30,207,2.17
2024-04-09T02:15:56+05:30,209,1.74
2024-04-09T02:16:01+05:30,211,1.53
2024-04-09T02:16:06+05:30,213,2.13
2024-04-09T02:16:12+05:30,215,2.13
2024-04-09T02:16:17+05:30,217,2.14
2024-04-09T02:16:22+05:30,219,1.76
2024-04-09T02:16:28+05:30,221,1.59
2024-04-09T02:16:33+05:30,223,2.16
2024-04-09T02:16:38+05:30,225,0.07
2024-04-09T02:16:44+05:30,227,2.08
2024-04-09T02:16:49+05:30,229,1.68
2024-04-09T02:16:54+05:30,231,1.69
2024-04-09T02:17:00+05:30,233,2.22
2024-04-09T02:17:05+05:30,235,2.07
2024-04-09T02:17:10+05:30,237,2.07
2024-04-09T02:17:15+05:30,239,1.62
2024-04-09T02:17:21+05:30,241,1.71
2024-04-09T02:17:26+05:30,243,2.16
2024-04-09T02:17:31+05:30,245,2.09
2024-04-09T02:17:37+05:30,247,2.03
2024-04-09T02:17:42+05:30,249,1.58
2024-04-09T02:17:47+05:30,251,1.75
2024-04-09T02:17:53+05:30,253,2.26
2024-04-09T02:17:58+05:30,255,2.05
2024-04-09T02:18:03+05:30,257,0.5
2024-04-09T02:18:09+05:30,259,1.5
2024-04-09T02:18:14+05:30,261,1.77
2024-04-09T02:18:19+05:30,263,2.23
2024-04-09T02:18:25+05:30,265,2.08
2024-04-09T02:18:30+05:30,267,1.98
2024-04-09T02:18:35+05:30,269,1.49
2024-04-09T02:18:41+05:30,271,1.8
2024-04-09T02:18:46+05:30,273,2.25
2024-04-09T02:18:51+05:30,275,2.09
2024-04-09T02:18:56+05:30,277,1.95
2024-04-09T02:19:02+05:30,279,1.46
2024-04-09T02:19:07+05:30,281,1.81
2024-04-09T02:19:12+05:30,283,1.6
2024-04-09T02:19:18+05:30,285,0.07
2024-04-09T02:19:23+05:30,287,0.07
2024-04-09T02:19:28+05:30,289,0.08
2024-04-09T02:19:34+05:30,291,0.07
2024-04-09T02:19:39+05:30,293,0.07
2024-04-09T02:19:44+05:30,295,0.07
2024-04-09T02:19:50+05:30,297,0.08
2024-04-09T02:19:55+05:30,299,0.07
2024-04-09T02:20:00+05:30,301,0.07
2024-04-09T02:20:06+05:30,303,0.07
2024-04-09T02:20:11+05:30,305,0.06
2024-04-09T02:20:16+05:30,307,0.07
2024-04-09T02:20:21+05:30,309,0.07
2024-04-09T02:20:27+05:30,311,0.07
2024-04-09T02:20:32+05:30,313,0.08
2024-04-09T02:20:37+05:30,315,0.07
2024-04-09T02:20:43+05:30,317,0.06
2024-04-09T02:20:48+05:30,319,0.07
2024-04-09T02:20:53+05:30,321,0.08
2024-04-09T02:20:59+05:30,323,0.07
2024-04-09T02:21:04+05:30,325,0.07
2024-04-09T02:21:09+05:30,327,0.07
2024-04-09T02:21:15+05:30,329,0.07
2024-04-09T02:21:20+05:30,331,0.08
2024-04-09T02:21:25+05:30,333,0.07
2024-04-09T02:21:31+05:30,335,0.07
2024-04-09T02:21:36+05:30,336,0.07
2024-04-09T02:21:41+05:30,338,0.09
2024-04-09T02:21:46+05:30,340,0.09
2024-04-09T02:21:52+05:30,342,0.1
2024-04-09T02:21:57+05:30,344,0.1
2024-04-09T02:22:02+05:30,346,0.09
2024-04-09T02:22:08+05:30,348,0.09
2024-04-09T02:22:13+05:30,350,0.09
2024-04-09T02:22:18+05:30,352,0.09
2024-04-09T02:22:24+05:30,354,0.09
2024-04-09T02:22:29+05:30,356,0.09
2024-04-09T02:22:34+05:30,358,0.09
2024-04-09T02:22:39+05:30,360,0.09
2024-04-09T02:22:45+05:30,362,0.09
2024-04-09T02:22:50+05:30,364,0.11
2024-04-09T02:22:55+05:30,366,0.08
2024-04-09T02:23:01+05:30,368,0.1
2024-04-09T02:23:06+05:30,370,0.08
2024-04-09T02:23:11+05:30,372,0.08
2024-04-09T02:23:17+05:30,374,0.09
2024-04-09T02:23:22+05:30,376,0.09
2024-04-09T02:23:27+05:30,378,0.09
2024-04-09T02:23:33+05:30,380,0.1
2024-04-09T02:23:38+05:30,382,0.1
2024-04-09T02:23:43+05:30,384,0.08
2024-04-09T02:23:49+05:30,386,0.08
2024-04-09T02:23:54+05:30,388,0.09
2024-04-09T02:23:59+05:30,390,0.1
2024-04-09T02:24:04+05:30,392,0.09
2024-04-09T02:24:10+05:30,394,0.09
2024-04-09T02:24:15+05:30,396,0.09
2024-04-09T02:24:20+05:30,398,0.1
2024-04-09T02:24:26+05:30,400,0.1
2024-04-09T02:24:31+05:30,402,0.09
2024-04-09T02:24:36+05:30,404,0.09
2024-04-09T02:24:42+05:30,406,0.09
2024-04-09T02:24:47+05:30,408,0.1
2024-04-09T02:24:52+05:30,410,0.1
2024-04-09T02:24:58+05:30,412,0.08
2024-04-09T02:25:03+05:30,414,0.09
2024-04-09T02:25:08+05:30,416,0.09
2024-04-09T02:25:14+05:30,418,0.09
2024-04-09T02:25:19+05:30,419,0.1
2024-04-09T02:25:24+05:30,421,0.09
2024-04-09T02:25:29+05:30,423,0.09
2024-04-09T02:25:35+05:30,425,1.75
2024-04-09T02:25:40+05:30,427,1.61
2024-04-09T02:25:45+05:30,429,2.3
2024-04-09T02:25:51+05:30,431,2.75
2024-04-09T02:25:56+05:30,433,1.81
2024-04-09T02:26:01+05:30,435,1.71
2024-04-09T02:26:07+05:30,437,1.94
2024-04-09T02:26:12+05:30,439,2.71
2024-04-09T02:26:17+05:30,441,0.06
2024-04-09T02:26:23+05:30,443,0.07
2024-04-09T02:26:28+05:30,445,2.18
2024-04-09T02:26:33+05:30,447,2.72
2024-04-09T02:26:39+05:30,449,1.51
2024-04-09T02:26:44+05:30,450,2.22
2024-04-09T02:26:49+05:30,452,2.68
2024-04-09T02:26:54+05:30,454,0.06
2024-04-09T02:27:00+05:30,456,0.05
2024-04-09T02:27:05+05:30,458,1.15
2024-04-09T02:27:10+05:30,460,1.8
2024-04-09T02:27:16+05:30,462,1.73
2024-04-09T02:27:21+05:30,464,1.14
2024-04-09T02:27:26+05:30,466,1.92
2024-04-09T02:27:32+05:30,468,1.79
2024-04-09T02:27:37+05:30,470,0.07
2024-04-09T02:27:42+05:30,472,0.07
2024-04-09T02:27:48+05:30,474,0.07
2024-04-09T02:27:53+05:30,476,0.06
2024-04-09T02:27:58+05:30,478,0.07
2024-04-09T02:28:03+05:30,480,0.07
2024-04-09T02:28:09+05:30,482,0.07
2024-04-09T02:28:14+05:30,484,0.07
2024-04-09T02:28:19+05:30,486,0.06
2024-04-09T02:28:25+05:30,488,0.07
2024-04-09T02:28:30+05:30,490,0.07
2024-04-09T02:28:35+05:30,492,0.07
2024-04-09T02:28:41+05:30,494,0.07
2024-04-09T02:28:46+05:30,496,0.07
2024-04-09T02:28:51+05:30,498,0.07
2024-04-09T02:28:57+05:30,500,0.06
2024-04-09T02:29:02+05:30,502,0.07
2024-04-09T02:29:07+05:30,504,0.07
2024-04-09T02:29:12+05:30,506,0.08
2024-04-09T02:29:18+05:30,508,0.07
2024-04-09T02:29:23+05:30,510,0.07
2024-04-09T02:29:28+05:30,512,0.07
2024-04-09T02:29:34+05:30,514,0.07
2024-04-09T02:29:39+05:30,516,0.07
2024-04-09T02:29:44+05:30,518,0.07
2024-04-09T02:29:50+05:30,520,0.06
2024-04-09T02:29:55+05:30,522,2.06
2024-04-09T02:30:00+05:30,524,0.07
2024-04-09T02:30:06+05:30,526,2.81
2024-04-09T02:30:11+05:30,528,0.06
2024-04-09T02:30:16+05:30,530,2.56
2024-04-09T02:30:21+05:30,532,1.84
2024-04-09T02:30:27+05:30,534,1.73
2024-04-09T02:30:32+05:30,536,1.7
2024-04-09T02:30:37+05:30,538,1.69
2024-04-09T02:30:43+05:30,540,1.69
2024-04-09T02:30:48+05:30,542,1.7
2024-04-09T02:30:53+05:30,544,1.7
2024-04-09T02:30:59+05:30,546,1.69
2024-04-09T02:31:04+05:30,548,1.69
2024-04-09T02:31:09+05:30,550,1.69
2024-04-09T02:31:15+05:30,552,1.5
2024-04-09T02:31:20+05:30,554,0.07
2024-04-09T02:31:25+05:30,556,0.06
2024-04-09T02:31:31+05:30,558,0.07
2024-04-09T02:31:36+05:30,560,0.07
2024-04-09T02:31:41+05:30,562,0.06
2024-04-09T02:31:47+05:30,564,0.07
2024-04-09T02:31:52+05:30,566,0.06
2024-04-09T02:31:57+05:30,568,0.06
2024-04-09T02:32:03+05:30,570,0.08
2024-04-09T02:32:08+05:30,571,0.09
2024-04-09T02:32:13+05:30,573,0.1
2024-04-09T02:32:18+05:30,575,0.09
2024-04-09T02:32:24+05:30,577,0.1
2024-04-09T02:32:29+05:30,579,0.09
2024-04-09T02:32:34+05:30,581,0.08
2024-04-09T02:32:40+05:30,583,0.09
2024-04-09T02:32:45+05:30,585,0.08
2024-04-09T02:32:50+05:30,587,0.09
2024-04-09T02:32:56+05:30,589,0.09
2024-04-09T02:33:01+05:30,591,0.09
2024-04-09T02:33:06+05:30,593,0.09
2024-04-09T02:33:11+05:30,595,0.1
2024-04-09T02:33:17+05:30,597,0.09
2024-04-09T02:33:22+05:30,599,0.1
2024-04-09T02:33:27+05:30,601,0.08
2024-04-09T02:33:33+05:30,603,0.09
2024-04-09T02:33:38+05:30,605,0.09
2024-04-09T02:33:43+05:30,607,0.08
2024-04-09T02:33:49+05:30,609,0.09
2024-04-09T02:33:54+05:30,611,0.08
2024-04-09T02:33:59+05:30,613,0.09
2024-04-09T02:34:05+05:30,615,0.09
2024-04-09T02:34:10+05:30,617,0.08
2024-04-09T02:34:15+05:30,619,0.09
2024-04-09T02:34:21+05:30,621,0.08
2024-04-09T02:34:26+05:30,623,0.09
2024-04-09T02:34:31+05:30,625,0.09
2024-04-09T02:34:36+05:30,627,0.09
2024-04-09T02:34:42+05:30,629,0.1
2024-04-09T02:34:47+05:30,631,0.09
2024-04-09T02:34:52+05:30,633,0.1
2024-04-09T02:34:58+05:30,635,0.08
2024-04-09T02:35:03+05:30,637,0.08
2024-04-09T02:35:08+05:30,639,0.09
2024-04-09T02:35:14+05:30,641,0.09
2024-04-09T02:35:19+05:30,643,0.09
2024-04-09T02:35:24+05:30,645,0.09
2024-04-09T02:35:30+05:30,647,0.09
2024-04-09T02:35:35+05:30,649,0.09
2024-04-09T02:35:40+05:30,651,0.09
2024-04-09T02:35:45+05:30,653,0.09
2024-04-09T02:35:51+05:30,655,0.09
2024-04-09T02:35:56+05:30,657,0.08
2024-04-09T02:36:01+05:30,659,0.1
2024-04-09T02:36:07+05:30,661,0.1
2024-04-09T02:36:12+05:30,663,0.09
2024-04-09T02:36:17+05:30,665,0.09
2024-04-09T02:36:23+05:30,667,1.79
2024-04-09T02:36:28+05:30,669,1.16
2024-04-09T02:36:33+05:30,671,2.8
2024-04-09T02:36:39+05:30,673,2.23
2024-04-09T02:36:44+05:30,675,1.41
2024-04-09T02:36:49+05:30,677,1.57
2024-04-09T02:36:54+05:30,679,2.4
2024-04-09T02:37:00+05:30,681,2.51
2024-04-09T02:37:05+05:30,683,0.07
2024-04-09T02:37:10+05:30,685,0.06
2024-04-09T02:37:16+05:30,687,2.59
2024-04-09T02:37:21+05:30,689,1.7
2024-04-09T02:37:26+05:30,691,0.09
2024-04-09T02:37:32+05:30,693,0.09
2024-04-09T02:37:37+05:30,695,0.08
2024-04-09T02:37:42+05:30,697,0.09
2024-04-09T02:37:48+05:30,699,0.09
2024-04-09T02:37:53+05:30,701,1.8
2024-04-09T02:37:58+05:30,703,1.77
2024-04-09T02:38:04+05:30,705,1.17
2024-04-09T02:38:09+05:30,707,1.78
2024-04-09T02:38:14+05:30,709,1.67
2024-04-09T02:38:19+05:30,711,1.17
2024-04-09T02:38:25+05:30,713,1.77
2024-04-09T02:38:30+05:30,715,1.58
2024-04-09T02:38:35+05:30,717,1.26
2024-04-09T02:38:41+05:30,719,1.74
2024-04-09T02:38:46+05:30,721,1.37
2024-04-09T02:38:51+05:30,723,0.07
